Zipcode,Listing_per_Zip_Code,ZipCode_Total_sqft_living,ZipCode_Total_sqft_lot,ZipCode_Total_sqft_above,ZipCode_Total_sqft_basement,ZipCode_Total_sqft_living15,ZipCode_Total_sqft_lot15,Zipcode_Median_housePrice
98001,358,683156.0,5357969.0,618166.0,64990.0,655956.0,4009721.0,260000.0
98002,197,320601.0,1479322.0,299665.0,20936.0,291257.0,1494775.0,235000.0
98003,276,533077.0,2932538.0,459094.0,73983.0,518995.0,2696954.0,269500.0
98004,315,916880.0,4121578.0,761810.0,155070.0,841880.0,4031552.0,1150000.0
98005,168,446343.0,3348036.0,362913.0,83430.0,431401.0,3085786.0,765475.0
98006,490,1413571.0,6580581.0,1127121.0,286450.0,1363885.0,5974223.0,760184.5
98007,139,304510.0,1487211.0,262720.0,41790.0,296300.0,1333682.0,560000.0
98008,283,603765.0,2883331.0,484804.0,118961.0,571980.0,2687084.0,545000.0
98010,99,210409.0,5347277.0,196684.0,13725.0,197526.0,4599130.0,359999.0
98011,194,437704.0,2198981.0,380129.0,57575.0,436535.0,1846307.0,470000.0
98014,123,260588.0,11994174.0,243918.0,16670.0,236788.0,9647692.0,415000.0
98019,190,412596.0,7569293.0,386886.0,25710.0,399707.0,7033137.0,401250.0
98022,233,428094.0,17296502.0,402584.0,25510.0,419760.0,11996802.0,280000.0
98023,492,983325.0,5164685.0,842881.0,140444.0,969792.0,4797394.0,269000.0
98024,79,187745.0,8198135.0,174860.0,12885.0,168836.0,6321111.0,465000.0
98027,411,1034079.0,13533869.0,869069.0,165010.0,976899.0,11712373.0,571000.0
98028,282,598971.0,3356149.0,502491.0,96480.0,589688.0,2851201.0,442500.0
98029,320,730040.0,2780894.0,694200.0,35840.0,707830.0,2256372.0,574500.0
98030,253,498440.0,2986034.0,457880.0,40560.0,486960.0,2169759.0,283000.0
98031,271,523646.0,3289583.0,463086.0,60560.0,517967.0,2300394.0,288400.0
98032,123,214706.0,1278695.0,176740.0,37966.0,205449.0,1142911.0,250000.0
98033,431,1025509.0,4529037.0,887063.0,138446.0,951322.0,4279617.0,678000.0
98034,543,1073868.0,5305355.0,902480.0,171388.0,1038845.0,4610656.0,446000.0
98038,586,1260562.0,14896328.0,1205812.0,54750.0,1242359.0,11726968.0,342750.0
98039,49,188825.0,862059.0,163325.0,25500.0,154700.0,856436.0,1905000.0
98040,282,876127.0,3864659.0,697761.0,178366.0,817446.0,3609962.0,993750.0
98042,546,1082778.0,10373696.0,1008708.0,74070.0,1068587.0,8042860.0,292000.0
98045,218,451315.0,11028810.0,423965.0,27350.0,417775.0,7073849.0,404750.0
98052,571,1351618.0,6347950.0,1201608.0,150010.0,1333389.0,5738458.0,615000.0
98053,400,1048066.0,14095676.0,1017226.0,30840.0,989615.0,11618312.0,635000.0
98055,260,464982.0,2622334.0,412630.0,52352.0,464535.0,1975623.0,297225.0
98056,404,814641.0,3869580.0,722236.0,92405.0,771315.0,3164271.0,380000.0
98058,451,926732.0,8827771.0,815882.0,110850.0,892779.0,6222115.0,335000.0
98059,465,1120810.0,6704005.0,1058140.0,62670.0,1093983.0,5857137.0,435000.0
98065,305,787550.0,5258036.0,751680.0,35870.0,771055.0,3452807.0,500000.0
98070,116,220498.0,11206086.0,196321.0,24177.0,205670.0,9340539.0,466250.0
98072,272,644497.0,8376495.0,566451.0,78046.0,640920.0,6524892.0,517500.0
98074,435,1153529.0,6346431.0,1064089.0,89440.0,1126601.0,5747958.0,645000.0
98075,358,1081057.0,6808457.0,1015177.0,65880.0,1067817.0,5390056.0,739999.5
98077,196,559645.0,10793226.0,524225.0,35420.0,545060.0,8943335.0,652475.0
98092,351,770677.0,11405618.0,724767.0,45910.0,747638.0,10604072.0,309780.0
98102,104,223709.0,374936.0,182254.0,41455.0,203265.0,343564.0,710000.0
98103,599,989010.0,2084169.0,841627.0,147383.0,912740.0,2079376.0,550000.0
98105,229,492482.0,1172747.0,387802.0,104680.0,464555.0,1131035.0,675000.0
98106,330,492111.0,1826393.0,393221.0,98890.0,449862.0,1682526.0,315000.0
98107,264,417490.0,844078.0,348010.0,69480.0,401500.0,909502.0,529975.0
98108,185,315530.0,965211.0,240320.0,75210.0,290690.0,935663.0,345000.0
98109,109,223971.0,394698.0,178471.0,45500.0,210190.0,393024.0,736000.0
98112,268,669812.0,1338426.0,537182.0,132630.0,611501.0,1313605.0,917500.0
98115,576,1056107.0,3139545.0,811185.0,244922.0,974371.0,3044441.0,570000.0
98116,329,610292.0,1638209.0,467162.0,143130.0,557529.0,1621003.0,565500.0
98117,548,927898.0,2540543.0,731448.0,196450.0,843980.0,2543765.0,545000.0
98118,498,844807.0,2882042.0,664265.0,180542.0,803147.0,2768032.0,370000.0
98119,184,369033.0,665200.0,292553.0,76480.0,343240.0,685859.0,744975.0
98122,289,516964.0,1012701.0,432174.0,84790.0,494698.0,1028175.0,574000.0
98125,402,704248.0,3092703.0,572313.0,131935.0,667158.0,2943428.0,425000.0
98126,352,543843.0,1795308.0,439563.0,104280.0,497114.0,1765935.0,396587.5
98133,484,780798.0,3434744.0,660954.0,119844.0,750381.0,3254183.0,375000.0
98136,263,454156.0,1573350.0,355610.0,98546.0,439780.0,1513139.0,489950.0
98144,340,649984.0,1392557.0,503201.0,146783.0,598787.0,1334168.0,452500.0
98146,281,457138.0,2532011.0,387298.0,69840.0,432338.0,2322658.0,312000.0
98148,56,90870.0,503021.0,83800.0,7070.0,90220.0,493722.0,279000.0
98155,442,787640.0,4554249.0,651330.0,136310.0,759823.0,4343925.0,377225.0
98166,250,519108.0,3415469.0,428460.0,90648.0,472530.0,3181557.0,392500.0
98168,264,389570.0,2996689.0,327330.0,62240.0,389832.0,2579651.0,237000.0
98177,254,590680.0,3027956.0,467092.0,123588.0,555300.0,2972908.0,557000.0
98178,258,448080.0,2143582.0,343070.0,105010.0,425830.0,2098145.0,279500.0
98188,135,243827.0,1368447.0,201583.0,42244.0,221234.0,1317681.0,265000.0
98198,275,481121.0,2902192.0,406391.0,74730.0,471880.0,2613086.0,266750.0
98199,316,683270.0,1718952.0,502910.0,180360.0,629580.0,1669144.0,689900.0
